ksss;competitor;segment
3171;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3222;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3170;Нет конкурентов ;0
3169;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3221;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
5025;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
3220;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3216;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3215;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
3214;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
3213;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3176;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
3212;Наличие объектов общественного питания в шаговой доступности от АЗС;0
3210;Наличие объектов общественного питания в шаговой доступности от АЗС;0
3209;Нет конкурентов ;0
3208;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5026;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5027;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5028;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5029;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5030;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5031;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5033;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
5034;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5035;Нет конкурентов ;1,1
5036;Нет конкурентов ;0
5037;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5038;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5039;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5040;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5041;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
5042;Нет конкурентов ;0
5043;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5044;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5045;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
5046;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5047;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5048;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5049;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5050;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5051;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5052;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
5053;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5055;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5056;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5057;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5058;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5059;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5060;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5061;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5062;Нет конкурентов ;0
5063;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
5065;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5066;Нет конкурентов ;0
5067;Нет конкурентов ;0
5068;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5069;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
5070;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
5071;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5072;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5073;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5075;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
5076;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5078;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
5079;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
5080;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
5081;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5082;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5083;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5085;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5086;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5087;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5088;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5089;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5090;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5091;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
5092;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5093;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5094;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
5095;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5097;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5098;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5099;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
5100;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5102;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
8662;Наличие объектов общественного питания в шаговой доступности от АЗС;0
8663;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
8664;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
39402;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
60604;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
62201;Нет конкурентов ;1,1
62405;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
62403;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
61001;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
62404;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
66202;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
65603;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
80001;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
84401;Нет конкурентов ;0
84601;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
84802;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
91401;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
132002;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
152001;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
153812;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
161801;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160414;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160014;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160015;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160016;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160017;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160018;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160019;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160020;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160022;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
160023;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160024;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
160025;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160026;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160027;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160028;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160029;Нет конкурентов ;0
160030;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
160031;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
160032;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
160033;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160034;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160035;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160037;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160038;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160040;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160041;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160042;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160043;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160044;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160045;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160046;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160047;Нет конкурентов ;0
160048;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160049;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
160050;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160051;Нет конкурентов ;1,1
160052;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160053;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160055;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160056;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160058;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160059;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160060;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
