ksss;competitor;segment
160061;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160062;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160063;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160064;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
160065;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
160067;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160068;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160069;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
160070;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160071;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
160072;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160073;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160074;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160075;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160076;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160077;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160078;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160079;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160080;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160082;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
160083;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
160084;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
145801;Наличие объектов общественного питания в шаговой доступности от АЗС;0
160602;Наличие объектов общественного питания в шаговой доступности от АЗС;0
155099;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155112;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155110;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
155119;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
155100;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155120;Нет конкурентов ;1,1
155101;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
155065;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1
155137;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155084;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
155085;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155066;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155086;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155087;Наличие объектов общественного питания в шаговой доступности от АЗС;1
155088;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155089;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
155090;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
155077;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
155076;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
155075;Наличие объектов общественного питания в шаговой доступности от АЗС;0
155074;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
155083;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1
155082;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1
155081;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,2
155080;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,2
155079;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,2
155078;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,2
3135;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;1,1
158201;Наличие объектов общественного питания в шаговой доступности от АЗС;1,1
4999;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
7061;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
7065;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
6453;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3136;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3138;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
3139;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3140;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
3141;Нет конкурентов ;1,1
3142;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;1,1
5001;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5002;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6405;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6452;Наличие объектов общественного питания в шаговой доступности от АЗС;0
5005;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;0
5006;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
5007;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6444;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
5008;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;0
6443;Наличие объектов общественного питания в шаговой доступности от АЗС;0
6448;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
6446;Наличие объектов общественного питания в шаговой доступности от АЗС;0
6449;Наличие объектов общественного питания в шаговой доступности от АЗС;0
6450;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в шаговой доступности от АЗС ;0
6447;Наличие АЗС только с магазином  или отдельных стоячего магазина в радиусе 30км.;0
6406;Наличие объектов общественного питания в шаговой доступности от АЗС;0
7073;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
8160;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
8787;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
8774;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
7126;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
7439;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
83602;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
83603;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
92404;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
92403;Наличие (Вкусно и точка, Бургер Кинг, KFC/Ростикс) с drive thru в радиусе 30км ;1,1
89601;Наличие АЗС С Кафе или отдельных объектов общественного питания в радиусе 30км.;1,1
